id,points,category,sub-category,language,role,person,ide_type,prompt_type,shot_type,is_test,test_type,epoch,confidence_percent,scenario,github_org,reference,data_source
1,20,programming,calculator,csharp,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,1,80,create a basic calculator with .net 8.0,ms-mfg-community,project-gengo/programming/dotnet/csharp/workspace/src/prompts-calculator-solution.txt,pfs-sql-01.postgres.database.azure.com
2,20,programming,calculator,csharp,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,70,create a basic .net 8.0 calculator with xunit testing,ms-mfg-community,project-gengo/programming/dotnet/csharp/workspace/src/prompts-calculator-solution.txt,pfs-sql-01.postgres.database.azure.com
3,13,databases,rdbms,postgresql,dba,ophelia oscar,vs_code,chat,one,FALSE,na,0,90,connect to postgresql database in azure,ms-mfg-community,project-gengo\databases\rdbms\workspace\src\postgresql\prompts-postgres.txt,pfs-sql-01.postgres.database.azure.com
4,8,databases,rdbms,postgresql,dba,ophelia oscar,vs_code,chat,one,FALSE,na,0,90,search the demo catalog to find the scenario for a basic calculator with .net 8.0,ms-mfg-community,project-gengo\databases\rdbms\workspace\src\postgresql\prompts-postgres.txt,pfs-sql-01.postgres.database.azure.com
5,40,databases,rdbms,mssql,dba,ophelia oscar,visual_studio,chat,one,FALSE,na,0,100,query the sql-asi-01 azure database,ms-mfg-community,project-gengo\databases\rdbms\workspace\src\azure-sql\prompts-sql.txt,svr-asi-01.database.windows.net
6,40,databases,rdbms,mssql,dba,ophelia oscar,jetbrains_suite,chat,one,FALSE,na,0,100,query the postgresql database in azure with data grip,ms-mfg-community,project-gengo\databases\rdbms\workspace\src\postgresql\prompts-postgres.txt,pfs-sql-01.postgres.database.azure.com
7,40,programming,dotnet,csharp,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create a country quiz using .net 9.0,ms-mfg-community,project-gengo\programming\dotnet\csharp\workspace\src\prompts-country-quiz.txt,pfs-sql-01.postgres.database.azure.com
8,40,programming,dotnet,csharp,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,add xunit testing for the .net 9.0 country quiz,ms-mfg-community,project-gengo\programming\dotnet\csharp\workspace\src\prompts-country-quiz.txt,pfs-sql-01.postgres.database.azure.com
9,40,programming,dotnet,csharp,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,add nunit testing for the .net 9.0 country quiz,ms-mfg-community,project-gengo\programming\dotnet\csharp\workspace\src\prompts-country-quiz.txt,pfs-sql-01.postgres.database.azure.com
10,40,programming,dotnet,csharp,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,add msunit testing for the .net 9.0 country quiz,ms-mfg-community,project-gengo\programming\dotnet\csharp\workspace\src\prompts-country-quiz.txt,pfs-sql-01.postgres.database.azure.com
11,40,programming,calculator,java,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create basic calculator in java with visual studio 2022,ms-mfg-community,project-gengo\programming\java\pnd-calculator-java-vs2022.md,pfs-sql-01.postgres.database.azure.com
12,40,programming,calculator,java,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic calculator test cases with junit and visual studio 2022,ms-mfg-community,project-gengo\programming\java\pnd-calculator-java-vs2022.md,pfs-sql-01.postgres.database.azure.com
13,40,programming,calculator,java,app-dev,devia delta,vs_code,chat,multiple,FALSE,na,0,10,create basic calculator in java with vscode,ms-mfg-community,project-gengo\programming\java\pnd-calculator-java-vs2022.md,pfs-sql-01.postgres.database.azure.com
14,40,programming,calculator,java,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create basic calculator test cases with junit and vscode,ms-mfg-community,project-gengo\programming\java\pnd-calculator-java-vs2022.md,pfs-sql-01.postgres.database.azure.com
15,40,programming,calculator,java,app-dev,devia delta,jetbrains_suite,chat,multiple,FALSE,na,0,10,create basic calculator in java with intellij idea,ms-mfg-community,project-gengo\programming\java\pnd-calculator-java-intellij.md,pfs-sql-01.postgres.database.azure.com
16,40,programming,calculator,java,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create basic calculator test cases with junit with intellij idea,ms-mfg-community,project-gengo\programming\java\pnd-calculator-java-intellij.md,pfs-sql-01.postgres.database.azure.com
17,40,programming,calculator,typescript,app-dev,devia delta,visual_studio,chat,multiple,TRUE,na,0,10,create basic calculator with typescript in visual studio 2022,ms-mfg-community,project-gengo\programming\typscript-html-css\workspace\src\calculator-typescript-vs2022.md,pfs-sql-01.postgres.database.azure.com
18,40,programming,calculator,typescript,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using vitest with typescript in vs2022,ms-mfg-community,project-gengo\programming\typscript-html-css\workspace\src\calculator-typescript-vs2022.md,pfs-sql-01.postgres.database.azure.com
19,40,programming,calculator,typescript,app-dev,devia delta,vs_code,chat,multiple,TRUE,na,0,10,create basic calculator with typescript in vscode,ms-mfg-community,project-gengo\programming\typscript-html-css\workspace\src\calculator-typescript-vs2022.md,pfs-sql-01.postgres.database.azure.com
20,40,programming,calculator,typescript,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using vitest with typescript in vscode,ms-mfg-community,project-gengo\programming\typscript-html-css\workspace\src\calculator-typescript-vs2022.md,pfs-sql-01.postgres.database.azure.com
21,40,programming,calculator,typescript,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,na,0,10,create basic calculator in typescript with webstorm,ms-mfg-community,project-gengo\programming\typescript-html-css\workspace\src\calculator-typescript-webstorm.md,pfs-sql-01.postgres.database.azure.com
22,40,programming,calculator,typescript,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using vitest with typescript in webstorm,ms-mfg-community,project-gengo\programming\typescript-html-css\workspace\src\calculator-typescript-webstorm.md,pfs-sql-01.postgres.database.azure.com
23,40,programming,calculator,python,app-dev,devia delta,visual_studio,chat,multiple,TRUE,na,0,10,create basic calculator in python with vs2022,ms-mfg-community,project-gengo\programming\python\workspace\src\calculator-python-vs2022.md,pfs-sql-01.postgres.database.azure.com
24,40,programming,calculator,python,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using pytest with python in vs2022,ms-mfg-community,project-gengo\programming\python\workspace\src\calculator-python-vs2022.md,pfs-sql-01.postgres.database.azure.com
